,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0,1710276000.0,2824153000.0,4062598000.0,5425600000.0,6913170000.0,8525280000.0,10261970000.0,12123200000.0,14109040000.0,16219360000.0,18454230000.0,20813760000.0,23297740000.0,25906390000.0,28639490000.0,31497240000.0,34479460000.0,37586330000.0,19413760000.0,22067740000.0,24846290000.0,27749390000.0,22375240000.0,25303460000.0,28356330000.0,31533660000.0,34835640000.0,38262080000.0,29219700000.0,32627400000.0,30509830000.0,34058920000.0,37732570000.0,41530770000.0,45453530000.0,49500950000.0,51389180000.0,20907630000.0,24590130000.0,28397090000.0,29007870000.0,33016600000.0,35187100000.0,39419120000.0,43775600000.0,34704040000.0,39085730000.0,43592090000.0,48222900000.0,0.0,57858180000.0,62862660000.0,0.0,0.0,78623500000.0,84126400000.0,41674700000.0,26363700000.0,31270400000.0,36301600000.0,37749100000.0,33222470000.0,37703800000.0,42309580000.0,47040020000.0,51894920000.0,48271300000.0,52559600000.0,38268900000.0,42582400000.0,35153700000.0,38900400000.0,42771700000.0,43130200000.0,0.0,0.0,40008700000.0,43764300000.0,44767900000.0,48501100000.0,0.0,0.0,0.0,0.0,59127000000.0,60211500000.0,36343700000.0,40461000000.0,39112400000.0,43207300000.0,47426900000.0,46606400000.0,38518830000.0,42780290000.0,18784320000.0,22592890000.0,26526130000.0,30583900000.0,34766200000.0,39073100000.0
1,1696934000.0,2781235000.0,3973848000.0,5274770000.0,6684010000.0,8201560000.0,9827420000.0,11561590000.0,13404070000.0,15354820000.0,17414000000.0,19581420000.0,21857160000.0,24241140000.0,26733550000.0,29334190000.0,32043170000.0,34860480000.0,18121820000.0,20545290000.0,23077090000.0,25717230000.0,20735800000.0,23397800000.0,26168130000.0,29046800000.0,32033690000.0,35128920000.0,26752190000.0,29831200000.0,27804390000.0,31006230000.0,34316400000.0,37734900000.0,41261730000.0,44896900000.0,46533230000.0,19091140000.0,22408990000.0,25835170000.0,26301940000.0,29903510000.0,31795910000.0,35591610000.0,39495640000.0,31299010000.0,35224910000.0,39259130000.0,43401600000.0,0.0,52011620000.0,56479070000.0,0.0,0.0,70531200000.0,75431900000.0,37581200000.0,23753400000.0,28135700000.0,32626400000.0,34000800000.0,29879120000.0,33891610000.0,38012430000.0,42241590000.0,46578970000.0,43543690000.0,47388240000.0,34653200000.0,38519800000.0,32175800000.0,35549500000.0,39031600000.0,39337700000.0,0.0,0.0,35918400000.0,39299700000.0,40288100000.0,43650200000.0,0.0,0.0,0.0,0.0,53288700000.0,54236700000.0,32968400000.0,36664300000.0,35607300000.0,39283800000.0,43068700000.0,42047000000.0,34828780000.0,38650120000.0,16847600000.0,20275210000.0,23811050000.0,27455230000.0,31207730000.0,35068600000.0
2,2103386000.0,3419314000.0,4848980000.0,6392360000.0,8049470000.0,9820310000.0,11704880000.0,13703120000.0,15815200000.0,18040950000.0,20380470000.0,22833670000.0,25400540000.0,28081180000.0,30875600000.0,33783690000.0,36805560000.0,39941100000.0,20929610000.0,23651700000.0,26487560000.0,29437100000.0,23733810000.0,26706390000.0,29792650000.0,32992580000.0,36306300000.0,39733800000.0,30150300000.0,33560600000.0,31148190000.0,34687550000.0,38340690000.0,42107510000.0,45988090000.0,49982360000.0,51691990000.0,21441890000.0,25103070000.0,28877920000.0,29269580000.0,33228650000.0,35223450000.0,39386300000.0,43662930000.0,34583730000.0,38883300000.0,43296650000.0,47823670000.0,0.0,57218940000.0,62087180000.0,0.0,0.0,77374300000.0,82697400000.0,41518200000.0,26211300000.0,30990200000.0,35882700000.0,37503300000.0,32891250000.0,37281700000.0,41786020000.0,46403920000.0,51135690000.0,48126000000.0,52340300000.0,38495700000.0,42733000000.0,36249200000.0,39969100000.0,43802600000.0,44115500000.0,0.0,0.0,39444200000.0,43172000000.0,44387300000.0,48094800000.0,0.0,0.0,0.0,0.0,58826300000.0,59829500000.0,36710000000.0,40768100000.0,39835700000.0,43873400000.0,48024900000.0,46479300000.0,38615980000.0,42805810000.0,18477220000.0,22253590000.0,26143750000.0,30147500000.0,34265100000.0,38496300000.0
3,1705829000.0,2809847000.0,4033021000.0,5375330000.0,6836780000.0,8417380000.0,10117110000.0,11935990000.0,13874020000.0,15931210000.0,18107520000.0,20402940000.0,22817580000.0,25351340000.0,28004210000.0,30776190000.0,33667390000.0,36677710000.0,18983140000.0,21560290000.0,24256550000.0,27071930000.0,21828730000.0,24668240000.0,27626860000.0,30704700000.0,33901660000.0,37217730000.0,28397100000.0,31695300000.0,29607980000.0,33041320000.0,36593880000.0,40265550000.0,44056330000.0,47966230000.0,49770560000.0,20302100000.0,23863050000.0,27543120000.0,28105860000.0,31978970000.0,34056670000.0,38143320000.0,42348980000.0,33569060000.0,37798860000.0,42147770000.0,46615800000.0,0.0,55909290000.0,60734870000.0,0.0,0.0,75926100000.0,81228200000.0,40310300000.0,25493600000.0,30225500000.0,35076500000.0,36499600000.0,32108050000.0,36433000000.0,40877160000.0,45440540000.0,50122940000.0,46695450000.0,50835900000.0,37063700000.0,41228200000.0,34161000000.0,37783400000.0,41524900000.0,41866000000.0,0.0,0.0,38645200000.0,42276100000.0,43274600000.0,46884100000.0,0.0,0.0,0.0,0.0,57180900000.0,58219800000.0,35218700000.0,39195400000.0,37944000000.0,41899500000.0,45974200000.0,45086600000.0,37288810000.0,41403570000.0,18138740000.0,21820330000.0,25621140000.0,29540960000.0,33580000000.0,37738200000.0
4,1710276000.0,2824153000.0,4062598000.0,5425600000.0,6913170000.0,8525280000.0,10261970000.0,12123200000.0,14109040000.0,16219360000.0,18454230000.0,20813760000.0,23297740000.0,25906390000.0,28639490000.0,31497240000.0,34479460000.0,37586330000.0,19413760000.0,22067740000.0,24846290000.0,27749390000.0,22375240000.0,25303460000.0,28356330000.0,31533660000.0,34835640000.0,38262080000.0,29219700000.0,32627400000.0,30509830000.0,34058920000.0,37732570000.0,41530770000.0,45453530000.0,49500950000.0,51389180000.0,20907630000.0,24590130000.0,28397090000.0,29007870000.0,33016600000.0,35187100000.0,39419120000.0,43775600000.0,34704040000.0,39085730000.0,43592090000.0,48222900000.0,0.0,57858180000.0,62862660000.0,0.0,0.0,78623500000.0,84126400000.0,41674700000.0,26363700000.0,31270400000.0,36301600000.0,37749100000.0,33222470000.0,37703800000.0,42309580000.0,47040020000.0,51894920000.0,48271300000.0,52559600000.0,38268900000.0,42582400000.0,35153700000.0,38900400000.0,42771700000.0,43130200000.0,0.0,0.0,40008700000.0,43764300000.0,44767900000.0,48501100000.0,0.0,0.0,0.0,0.0,59127000000.0,60211500000.0,36343700000.0,40461000000.0,39112400000.0,43207300000.0,47426900000.0,46606400000.0,38518830000.0,42780290000.0,18784320000.0,22592890000.0,26526130000.0,30583900000.0,34766200000.0,39073100000.0
5,2010998000.0,3125345000.0,4248030000.0,5382890000.0,6533770000.0,7704480000.0,8898870000.0,10120750000.0,11373970000.0,12662350000.0,13989750000.0,15359900000.0,16776710000.0,18244080000.0,19765650000.0,21345410000.0,22987190000.0,24694710000.0,13370220000.0,14894800000.0,16479900000.0,18129400000.0,14721470000.0,16416930000.0,18184200000.0,20027210000.0,21949800000.0,23955770000.0,18219240000.0,20277320000.0,18882710000.0,21082670000.0,23379510000.0,25777060000.0,28279240000.0,30889640000.0,32172600000.0,12838550000.0,15137630000.0,17543320000.0,17948150000.0,20559280000.0,22016150000.0,24856390000.0,27821610000.0,22604020000.0,25644140000.0,28816680000.0,32125660000.0,0.0,39167790000.0,42908670000.0,0.0,0.0,55056570000.0,59427040000.0,26713960000.0,17240000000.0,20894540000.0,24706530000.0,25985440000.0,23961680000.0,27517460000.0,31225230000.0,35088820000.0,39112130000.0,36432680000.0,40023480000.0,30143960000.0,33762820000.0,27500990000.0,30593370000.0,30130380000.0,30452980000.0,0.0,0.0,28230980000.0,31031070000.0,31878870000.0,34632400000.0,0.0,0.0,0.0,0.0,42974430000.0,44116650000.0,25045440000.0,27915000000.0,26432800000.0,29254400000.0,32187400000.0,29593700000.0,23754350000.0,26708770000.0,14374110000.0,17140550000.0,19370930000.0,22194550000.0,25121140000.0,28154600000.0
6,1609142000.0,2502547000.0,3405540000.0,4322550000.0,5257960000.0,6216180000.0,7201630000.0,8218710000.0,9271810000.0,10365350000.0,11503720000.0,12691360000.0,13932640000.0,15231930000.0,16593690000.0,18022370000.0,19522300000.0,21097840000.0,11215650000.0,12580770000.0,14015550000.0,15524420000.0,12639480000.0,14201140000.0,15845510000.0,17576810000.0,19399750000.0,21318470000.0,16444710000.0,18423430000.0,17441630000.0,19583480000.0,21836770000.0,24205860000.0,26695280000.0,29309190000.0,30803200000.0,11710120000.0,13966000000.0,16344380000.0,17025420000.0,19640250000.0,21298600000.0,24176870000.0,27198800000.0,22232730000.0,25340700000.0,28601070000.0,32018280000.0,0.0,39340530000.0,43254460000.0,0.0,0.0,56060330000.0,60698270000.0,26219240000.0,17047450000.0,20862120000.0,24857840000.0,25940470000.0,24235080000.0,27936130000.0,31811960000.0,35867020000.0,40105650000.0,36636310000.0,40377530000.0,30050270000.0,33823880000.0,26234700000.0,29402770000.0,28482250000.0,28871950000.0,0.0,0.0,28681480000.0,31513480000.0,32100510000.0,34878900000.0,0.0,0.0,0.0,0.0,43135340000.0,44431980000.0,24223390000.0,27135350000.0,25042700000.0,27899400000.0,30884300000.0,28935700000.0,22842500000.0,25851890000.0,14808060000.0,17601360000.0,19778230000.0,22637270000.0,25614810000.0,28715100000.0
7,1810103000.0,2814102000.0,3827298000.0,4853880000.0,5898080000.0,6964090000.0,8056150000.0,9178450000.0,10335220000.0,11530660000.0,12769010000.0,14054440000.0,15391210000.0,16783450000.0,18235490000.0,19751470000.0,21335640000.0,22992210000.0,12330040000.0,13785270000.0,15307110000.0,16899820000.0,13742070000.0,15385270000.0,17107580000.0,18913100000.0,20806170000.0,22790920000.0,17465480000.0,19507600000.0,18328950000.0,20527180000.0,22831970000.0,25247560000.0,27778080000.0,30427870000.0,31849660000.0,12377140000.0,14684430000.0,17108850000.0,17677320000.0,20327800000.0,21920690000.0,24823190000.0,27863200000.0,22714730000.0,25837030000.0,29105140000.0,32523190000.0,0.0,39826060000.0,43719250000.0,0.0,0.0,56416700000.0,61002460000.0,26812860000.0,17376250000.0,21174510000.0,25145930000.0,26330930000.0,24460170000.0,28149770000.0,32006560000.0,36034780000.0,40238650000.0,37069510000.0,40797510000.0,30521080000.0,34280050000.0,27170260000.0,30350050000.0,29619060000.0,29984620000.0,0.0,0.0,28891680000.0,31750060000.0,32460930000.0,35268000000.0,0.0,0.0,0.0,0.0,43680250000.0,44927020000.0,24933470000.0,27868280000.0,26016100000.0,28898000000.0,31902500000.0,29640400000.0,23572660000.0,26600680000.0,14827430000.0,17648770000.0,19880430000.0,22764610000.0,25762140000.0,28877070000.0
8,1902379000.0,3107428000.0,4426200000.0,5858710000.0,7404930000.0,9064890000.0,10838570000.0,12725960000.0,14727100000.0,16842010000.0,19070590000.0,21412950000.0,23868980000.0,26438690000.0,29122270000.0,31919420000.0,34830450000.0,37855150000.0,19741020000.0,22352270000.0,25077190000.0,27915890000.0,22508060000.0,25369710000.0,28345020000.0,31434120000.0,34636980000.0,37953500000.0,28862400000.0,32161900000.0,29927110000.0,33355640000.0,36897940000.0,40553820000.0,44323560000.0,48206990000.0,49921920000.0,20569280000.0,24119520000.0,27783530000.0,28236710000.0,32084940000.0,34074840000.0,38126860000.0,42292650000.0,33508910000.0,37697640000.0,42000050000.0,46416230000.0,0.0,55589720000.0,60347030000.0,0.0,0.0,75301500000.0,80513800000.0,40232000000.0,25417400000.0,30085300000.0,34867000000.0,36376700000.0,31942390000.0,36222000000.0,40615380000.0,45122540000.0,49743270000.0,46622780000.0,50726200000.0,37177100000.0,41303500000.0,34708800000.0,38317800000.0,42040500000.0,42358700000.0,0.0,0.0,38363000000.0,41980000000.0,43084300000.0,46680900000.0,0.0,0.0,0.0,0.0,57030500000.0,58028900000.0,35401700000.0,39349000000.0,38305600000.0,42232500000.0,46273200000.0,45023000000.0,37337340000.0,41416330000.0,17985190000.0,21650730000.0,25429850000.0,29322830000.0,33329500000.0,37449800000.0
9,1710276000.0,2824153000.0,4062598000.0,5425600000.0,6913170000.0,8525280000.0,10261970000.0,12123200000.0,14109040000.0,16219360000.0,18454230000.0,20813760000.0,23297740000.0,25906390000.0,28639490000.0,31497240000.0,34479460000.0,37586330000.0,19413760000.0,22067740000.0,24846290000.0,27749390000.0,22375240000.0,25303460000.0,28356330000.0,31533660000.0,34835640000.0,38262080000.0,29219700000.0,32627400000.0,30509830000.0,34058920000.0,37732570000.0,41530770000.0,45453530000.0,49500950000.0,51389180000.0,20907630000.0,24590130000.0,28397090000.0,29007870000.0,33016600000.0,35187100000.0,39419120000.0,43775600000.0,34704040000.0,39085730000.0,43592090000.0,48222900000.0,0.0,57858180000.0,62862660000.0,0.0,0.0,78623500000.0,84126400000.0,41674700000.0,26363700000.0,31270400000.0,36301600000.0,37749100000.0,33222470000.0,37703800000.0,42309580000.0,47040020000.0,51894920000.0,48271300000.0,52559600000.0,38268900000.0,42582400000.0,35153700000.0,38900400000.0,42771700000.0,43130200000.0,0.0,0.0,40008700000.0,43764300000.0,44767900000.0,48501100000.0,0.0,0.0,0.0,0.0,59127000000.0,60211500000.0,36343700000.0,40461000000.0,39112400000.0,43207300000.0,47426900000.0,46606400000.0,38518830000.0,42780290000.0,18784320000.0,22592890000.0,26526130000.0,30583900000.0,34766200000.0,39073100000.0
