,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,1710276000.0,2824153000.0,4062598000.0,5425600000.0,6913170000.0,8525280000.0,10261970000.0,1710276000.0,1710276000.0
1,1696934000.0,2781235000.0,3973848000.0,5274770000.0,6684010000.0,8201560000.0,9827420000.0,1696934000.0,1696934000.0
2,2103386000.0,3419314000.0,4848980000.0,6392360000.0,8049470000.0,9820310000.0,11704880000.0,2103386000.0,2103386000.0
3,1705829000.0,2809847000.0,4033021000.0,5375330000.0,6836780000.0,8417380000.0,10117110000.0,1705829000.0,1705829000.0
4,1710276000.0,2824153000.0,4062598000.0,5425600000.0,6913170000.0,8525280000.0,10261970000.0,1710276000.0,1710276000.0
5,2010998000.0,3125345000.0,4248030000.0,5382890000.0,6533770000.0,7704480000.0,8898870000.0,2010998000.0,2010998000.0
6,1609142000.0,2502547000.0,3405540000.0,4322550000.0,5257960000.0,6216180000.0,7201630000.0,1609142000.0,1609142000.0
7,1810103000.0,2814102000.0,3827298000.0,4853880000.0,5898080000.0,6964090000.0,8056150000.0,1810103000.0,1810103000.0
8,1810047000.0,2813780000.0,3826280000.0,4851560000.0,5893650000.0,6956580000.0,8044360000.0,1810047000.0,1810047000.0
9,1705875000.0,2810169000.0,4034029000.0,5377650000.0,6841200000.0,8424890000.0,10128900000.0,1705875000.0,1705875000.0
10,1902379000.0,3107428000.0,4426200000.0,5858710000.0,7404930000.0,9064890000.0,10838570000.0,1902379000.0,1902379000.0
11,1906826000.0,3121734000.0,4455790000.0,5908980000.0,7481320000.0,9172800000.0,10983420000.0,1906826000.0,1906826000.0
